name,club,season,position,overall,nationality
Fede Vico,Granada CF,2018/19,CAM,70,Spain
Miguel Torres,Málaga CF,2018/19,CB,70,Spain
D. Blum,UD Las Palmas,2018/19,ST,70,Germany
Saúl,Deportivo de La Coruña,2018/19,LB,70,Spain
Kangin Lee,Valencia CF,2018/19,CAM,70,Korea Republic
D. Moreno,Deportivo de La Coruña,2018/19,CDM,70,Colombia
Clerc,CA Osasuna,2018/19,LB,70,Spain
A. Faurlín,RCD Mallorca,2018/19,CDM,70,Argentina
Javi Guerra,Rayo Vallecano,2018/19,ST,70,Spain
M. Dos Santos,CD Leganés,2018/19,CB,70,Argentina
Marc Cardona,SD Eibar,2018/19,ST,70,Spain
José Arnáiz,CD Leganés,2018/19,LW,70,Spain
Nino,Elche CF,2018/19,ST,70,Spain
Momo,UD Las Palmas,2018/19,LW,70,Spain
Anuar,Real Valladolid CF,2018/19,CDM,70,Morocco
Sastre,SD Huesca,2018/19,CM,70,Spain
E. Ávila,SD Huesca,2018/19,RW,70,Argentina
Hernán,Real Sporting de Gijón,2018/19,CM,70,Spain
A. Werner,SD Huesca,2018/19,GK,70,Argentina
Christian Rivera,SD Huesca,2018/19,CDM,70,Spain
Alberto Martín,Granada CF,2018/19,CDM,70,Spain
Aguza,UD Almería,2018/19,CDM,70,Spain
M. Koné,Málaga CF,2018/19,ST,70,Ivory Coast
Salvador Agra,Cádiz CF,2018/19,RW,70,Portugal
Borja Fernández,Real Valladolid CF,2018/19,CDM,70,Spain
Rafa Mir,UD Las Palmas,2018/19,RW,70,Spain
Aleix García,Girona FC,2018/19,CM,70,Spain
Cotán,Real Valladolid CF,2018/19,CDM,70,Spain
Rodri,Granada CF,2018/19,ST,70,Spain
M. Peybernès,Real Sporting de Gijón,2018/19,CB,70,France
U. Đurđević,Real Sporting de Gijón,2018/19,ST,70,Serbia
Cifu,Málaga CF,2018/19,RWB,69,Spain
Iván Sánchez,Elche CF,2018/19,RW,69,Spain
David Rodríguez,CA Osasuna,2018/19,ST,69,Spain
M. Wagué,FC Barcelona,2018/19,RB,69,Senegal
Pablo Valcarce,RCD Mallorca,2018/19,RW,69,Spain
Pedro Porro,Girona FC,2018/19,RWB,69,Spain
Servando,Cádiz CF,2018/19,CB,69,Spain
S. Hakšabanovič,Málaga CF,2018/19,LW,69,Montenegro
Riqui Puig,FC Barcelona,2018/19,CM,69,Spain
Puado,RCD Espanyol,2018/19,ST,69,Spain
J. Narváez,UD Almería,2018/19,CM,69,Colombia
R. Brežančić,SD Huesca,2018/19,LB,69,Serbia
A. Sadiku,Levante UD,2018/19,ST,69,Albania
Adrián Ortolá,Deportivo de La Coruña,2018/19,GK,69,Spain
Aguilera,SD Huesca,2018/19,CDM,69,Spain
Rui Silva,Granada CF,2018/19,GK,69,Portugal
Adrián Diéguez,Deportivo Alavés,2018/19,CB,69,Spain
Edu Ramos,Cádiz CF,2018/19,CDM,69,Spain
Pablo Pérez,Real Sporting de Gijón,2018/19,CAM,69,Spain
Brian Oliván,Cádiz CF,2018/19,LB,69,Spain
Álex Mula,Málaga CF,2018/19,LW,69,Spain
Diego Caballo,Deportivo de La Coruña,2018/19,LB,69,Spain
A. Hjulsager,RC Celta,2018/19,CM,69,Denmark
Villalibre,Athletic Club de Bilbao,2018/19,ST,68,Spain
Alberto Perea,Cádiz CF,2018/19,CAM,68,Spain
A. Bangoura,Rayo Vallecano,2018/19,RW,68,Guinea
M. Somma,Deportivo de La Coruña,2018/19,CB,68,Italy
Koke Vegas,Levante UD,2018/19,GK,68,Spain
F. Uzoho,Elche CF,2018/19,GK,68,Nigeria
Merquelanz,Real Sociedad,2018/19,LW,68,Spain
Reguilón,Real Madrid,2018/19,LB,68,Spain
Soriano,Sevilla FC,2018/19,GK,68,Spain
Rubén,CA Osasuna,2018/19,GK,68,Spain
Pejiño,Sevilla FC,2018/19,LW,68,Spain
David García,CA Osasuna,2018/19,CB,68,Spain
Nacho Méndez,Real Sporting de Gijón,2018/19,CM,68,Spain
B. Boulahroud,Málaga CF,2018/19,CM,68,Morocco
R. Mazáň,RC Celta,2018/19,LB,68,Slovakia
Carrillo,Cádiz CF,2018/19,ST,68,Spain
Iván Villar,RC Celta,2018/19,GK,68,Spain
Kevin,RC Celta,2018/19,RB,68,Spain
Lillo,CA Osasuna,2018/19,RB,68,Spain
David Concha,Real Sociedad,2018/19,RW,68,Spain
Manolo Reina,RCD Mallorca,2018/19,GK,68,Spain
Gorosabel,Real Sociedad,2018/19,RB,68,Spain
Héctor,Málaga CF,2018/19,ST,68,Spain
L. Wakalible,RCD Mallorca,2018/19,LW,68,Ivory Coast
David Carmona,Cádiz CF,2018/19,RB,68,Spain
Kike Barja,CA Osasuna,2018/19,RW,68,Spain
Matos,Cádiz CF,2018/19,LB,68,Spain
Joaquín,Real Valladolid CF,2018/19,CB,68,Spain
José Juan,Elche CF,2018/19,GK,68,Spain
S. Kaba,Elche CF,2018/19,ST,68,Guinea
Álvaro,UD Almería,2018/19,ST,68,Spain
Marc Pedraza,RCD Mallorca,2018/19,CDM,68,Spain
Iván Rodríguez,Málaga CF,2018/19,RB,68,Spain
T. Pekhart,UD Las Palmas,2018/19,ST,68,Czech Republic
A. Jovanović,SD Huesca,2018/19,GK,68,Serbia
Mario Barco,Cádiz CF,2018/19,ST,68,Spain
José Suárez,Girona FC,2018/19,GK,67,Spain
R. Le Normand,Real Sociedad,2018/19,CB,67,France
Guruzeta,Athletic Club de Bilbao,2018/19,ST,67,Spain
Quini,Granada CF,2018/19,RB,67,Spain
Cristian Rivero,Valencia CF,2018/19,GK,67,Spain
Miguel Flaño,CA Osasuna,2018/19,CB,67,Spain
Dani Ojeda,CD Leganés,2018/19,LW,67,Spain
Josan,Elche CF,2018/19,RW,67,Spain
Lluis López,RCD Espanyol,2018/19,CB,67,Spain
Curro Sánchez,Sevilla FC,2018/19,LW,67,Spain
Santamaría,SD Huesca,2018/19,GK,67,Spain
Akieme,Rayo Vallecano,2018/19,LB,67,Spain
Jairo,Cádiz CF,2018/19,LW,67,Spain
Puertas,Granada CF,2018/19,RW,67,Spain
H. Sacko,UD Las Palmas,2018/19,RW,67,Mali
Nolaskoain,Athletic Club de Bilbao,2018/19,CB,67,Spain
Castro,RCD Mallorca,2018/19,ST,67,Spain
C. Gönen,Málaga CF,2018/19,GK,67,Turkey
Zubiaurre,Real Sociedad,2018/19,GK,67,Spain
Camacho,SD Huesca,2018/19,CAM,67,Spain
Tekio,Elche CF,2018/19,RB,67,Spain
Paik Seung Ho,Girona FC,2018/19,CM,67,Korea Republic
Alex López,RCD Espanyol,2018/19,CM,67,Spain
Oriol Busquets,FC Barcelona,2018/19,CDM,67,Spain
Pipa,RCD Espanyol,2018/19,RB,67,Spain
Abel Ruiz,FC Barcelona,2018/19,ST,67,Spain
Nano,UD Almería,2018/19,LB,67,Spain
P. Caballero,UD Almería,2018/19,ST,67,Argentina
Dani Romera,Cádiz CF,2018/19,ST,67,Spain
K. Azamoum,Cádiz CF,2018/19,CDM,67,France
Iñigo Muñoz,Athletic Club de Bilbao,2018/19,RW,67,Spain
I. Kecojević,Cádiz CF,2018/19,CB,67,Montenegro
Rubén Yáñez,Getafe CF,2018/19,GK,67,Spain
Sancet,Athletic Club de Bilbao,2018/19,CM,67,Spain
Provencio,Elche CF,2018/19,CM,67,Spain
Bicho,Deportivo de La Coruña,2018/19,CAM,67,Spain
Rodri Tarín,CD Leganés,2018/19,CB,67,Spain
Iban Salvador,RC Celta,2018/19,CAM,67,Equatorial Guinea
Hicham,Málaga CF,2018/19,RW,67,Morocco
Javi Sánchez,Real Madrid,2018/19,CB,67,Spain
Álex López,RCD Mallorca,2018/19,ST,66,Spain
Gaspar,UD Almería,2018/19,LW,66,Spain
Miranda,FC Barcelona,2018/19,LB,66,Spain
Aridai,RCD Mallorca,2018/19,RW,66,Spain
Manu Vallejo,Cádiz CF,2018/19,LW,66,Spain
Carlos Blanco,Villarreal CF,2018/19,CB,66,Spain
Chuca,Elche CF,2018/19,CM,66,Spain
Miguelón,Villarreal CF,2018/19,RB,66,Spain
P. Sisniega,Real Sociedad,2018/19,GK,66,Mexico
Ander Guevara,Real Sociedad,2018/19,CM,66,Spain
Iñigo Vicente,Athletic Club de Bilbao,2018/19,CAM,66,Spain
Cristo González,Real Madrid,2018/19,ST,66,Spain
Fran Rodríguez,UD Almería,2018/19,RB,66,Spain
Juan Rodríguez,Real Sporting de Gijón,2018/19,CB,66,Spain
M. Ndockyt,RCD Mallorca,2018/19,CAM,66,Congo
Manuel Sánchez,Elche CF,2018/19,CDM,66,Spain
P. Estupiñán,RCD Mallorca,2018/19,LB,66,Ecuador
Andoni López,UD Almería,2018/19,LB,66,Spain
W. Kaptoum,Real Betis,2018/19,CM,66,Cameroon
Juan Cruz,Elche CF,2018/19,LB,66,Spain
Trujillo,UD Almería,2018/19,CB,66,Spain
Benja,Elche CF,2018/19,ST,66,Spain
Jony Ñíguez,Elche CF,2018/19,CDM,66,Spain
Andrés Prieto,Málaga CF,2018/19,GK,66,Spain
Joni Montiel,Deportivo de La Coruña,2018/19,CAM,66,Spain
N. Blackman,Real Sporting de Gijón,2018/19,RW,66,England
Cris Salvador,Real Sporting de Gijón,2018/19,CM,66,Spain
Arturo Molina,Levante UD,2018/19,CAM,66,Spain
E. Apeh,RC Celta,2018/19,ST,66,Nigeria
Alex Pozo,Granada CF,2018/19,LW,66,Spain
Olavide,CA Osasuna,2018/19,RW,66,Spain
Berrocal,Sevilla FC,2018/19,CB,66,Spain
Abdón,RCD Mallorca,2018/19,ST,66,Spain
José Lara,Sevilla FC,2018/19,RW,66,Spain
Dani Martín,Real Sporting de Gijón,2018/19,GK,66,Spain
Corpas,UD Almería,2018/19,RW,66,Spain
Óscar Pinchi,Atlético Madrid,2018/19,LW,66,Spain
Manu,Elche CF,2018/19,LB,66,Switzerland
Isma Cerro,Real Sporting de Gijón,2018/19,RW,66,Spain
Álex Cobo,Deportivo de La Coruña,2018/19,GK,66,Spain
Víctor,Deportivo de La Coruña,2018/19,RW,66,Spain
Rober Correa,Cádiz CF,2018/19,RB,66,Spain
Pastrana,RC Celta,2018/19,LW,65,Spain
Avilés,CD Leganés,2018/19,RW,65,Spain
Edu Espiau,UD Las Palmas,2018/19,ST,65,Spain
Fran Gámez,RCD Mallorca,2018/19,RB,65,Spain
Guridi,Real Sociedad,2018/19,CM,65,Spain
Fabio González,UD Las Palmas,2018/19,CDM,65,Spain
Salva Ruíz,RCD Mallorca,2018/19,LB,65,Spain
F. Feuillassier,Real Madrid,2018/19,LW,65,Argentina
Fidalgo,Real Madrid,2018/19,CM,65,Spain
P. Twumasi,Deportivo Alavés,2018/19,RW,65,Ghana
De Los Reyes,UD Almería,2018/19,LB,65,Spain
Damià,RCD Espanyol,2018/19,CDM,65,Spain
K. Bare,Málaga CF,2018/19,CAM,65,Albania
Álvaro Traver,Real Sporting de Gijón,2018/19,LW,65,Spain
Chumi,FC Barcelona,2018/19,CB,65,Spain
N. Manzambi,Real Sporting de Gijón,2018/19,ST,65,Switzerland
Noblejas,Real Sporting de Gijón,2018/19,LB,65,Spain
Jorge Cuenca,FC Barcelona,2018/19,CB,65,Spain
Adri Castellano,Granada CF,2018/19,LB,65,Spain
Markel Areitio,SD Eibar,2018/19,GK,65,Spain
Diego Parras,UD Las Palmas,2018/19,RB,65,Spain
I. Zotko,Elche CF,2018/19,CB,65,Ukraine
Fernando,UD Almería,2018/19,GK,65,Spain
Javi Jiménez,Valencia CF,2018/19,CB,65,Spain
Ferrán Giner,RCD Mallorca,2018/19,LW,65,Spain
Fran Manzanara,Levante UD,2018/19,CDM,65,Spain
K. Soni,Girona FC,2018/19,CAM,64,Cameroon
Pablo Fernández,Real Sporting de Gijón,2018/19,ST,64,Spain
E. Lomotey,Villarreal CF,2018/19,CDM,64,Ghana
Pablo Vázquez,Granada CF,2018/19,CB,64,Spain
Julen López,SD Eibar,2018/19,CB,64,Spain
Sergio López,Real Madrid,2018/19,RB,64,Spain
Romera,UD Almería,2018/19,RB,64,Spain
Álex Centelles,Valencia CF,2018/19,LB,64,Spain
Guillem Jaime,FC Barcelona,2018/19,RW,64,Spain
José González,Granada CF,2018/19,CM,64,Spain
Fran García,Real Madrid,2018/19,LB,64,Spain
Diego Alende,RC Celta,2018/19,CB,64,Spain
Xesc Regis,SD Eibar,2018/19,ST,64,Spain
Jean Carlos,Granada CF,2018/19,LW,64,Brazil
Pascu,Valencia CF,2018/19,CM,64,Spain
Edu Frias,RCD Espanyol,2018/19,GK,64,Spain
Roberto López,Real Sociedad,2018/19,CAM,64,Spain
Jauregi,Levante UD,2018/19,ST,64,Spain
Luis Rioja,UD Almería,2018/19,LW,64,Spain
Juan Ibiza,UD Almería,2018/19,CB,64,Spain
José Mena,Sevilla FC,2018/19,CDM,64,Spain
Genís,Levante UD,2018/19,RB,64,Spain
M. Valjent,RCD Mallorca,2018/19,CB,64,Slovakia
Borja Garcés,Atlético Madrid,2018/19,ST,64,Spain
Kuki Zalazar,Real Valladolid CF,2018/19,RW,64,Spain
Montero,Atlético Madrid,2018/19,CB,64,Spain
Miguel,Real Valladolid CF,2018/19,ST,64,Spain
Manu Hernando,Real Madrid,2018/19,CB,64,Spain
Dani Molina,RC Celta,2018/19,CDM,64,Spain
D. Eckert,RC Celta,2018/19,ST,64,Germany
Moi Delgado,Real Valladolid CF,2018/19,LB,64,Spain
Jesús Areso,Athletic Club de Bilbao,2018/19,RB,64,Spain
Dani Cárdenas,Levante UD,2018/19,GK,63,Spain
Álex Domínguez,Deportivo Alavés,2018/19,GK,63,Spain
Ricardo Campos,Valencia CF,2018/19,RW,63,Portugal
Joaquín,Atlético Madrid,2018/19,LW,63,Spain
Bonilla,RCD Mallorca,2018/19,LB,63,Spain
Redru,Elche CF,2018/19,LB,63,Spain
Carlos Doncel,RCD Espanyol,2018/19,LW,63,Spain
Endika,CA Osasuna,2018/19,LB,63,Spain
Josemi,UD Las Palmas,2018/19,CM,63,Spain
Borja,Elche CF,2018/19,LW,63,Spain
S. Gassama,UD Almería,2018/19,ST,63,Spain
Sergio Buenacasa,RCD Mallorca,2018/19,ST,63,Spain
Jaime Sierra,CD Leganés,2018/19,CM,63,Spain
Carlos Cordero,Real Sporting de Gijón,2018/19,LB,63,Spain
Juan Pérez,CA Osasuna,2018/19,GK,63,Spain
Tachi,Atlético Madrid,2018/19,CB,63,Spain
Pelayo Morilla,Real Sporting de Gijón,2018/19,RW,63,Spain
Ezkieta,FC Barcelona,2018/19,GK,63,Spain
Dani Gómez,Real Madrid,2018/19,ST,63,Spain
Fornos,Deportivo de La Coruña,2018/19,CB,63,Spain
Carlos Isaac,Atlético Madrid,2018/19,RB,63,Spain
Stoichkov,RCD Mallorca,2018/19,CAM,63,Spain
Sito,Valencia CF,2018/19,LW,63,Spain
Juan Delgado,Levante UD,2018/19,ST,63,Spain
Joan Monterde,Levante UD,2018/19,CAM,63,Spain
Uxío,Deportivo de La Coruña,2018/19,ST,63,Spain
M. Salisu,Real Valladolid CF,2018/19,CB,63,Ghana
Toni Moya,Atlético Madrid,2018/19,CM,63,Spain
Mario González,Villarreal CF,2018/19,LW,63,Spain
Pedro Díaz,Real Sporting de Gijón,2018/19,CAM,63,Spain
Isi,Granada CF,2018/19,CM,63,Spain
Montoro,UD Almería,2018/19,RB,63,Spain
L. García,Sevilla FC,2018/19,GK,63,Colombia
Juan Hernández,Cádiz CF,2018/19,RW,63,Spain
Alberto Espeso,Real Sporting de Gijón,2018/19,LB,63,Spain
David Alba,Getafe CF,2018/19,CB,63,Spain
Robert Costa,RC Celta,2018/19,CB,63,Spain
Chema,UD Almería,2018/19,CAM,63,Spain
Quique Cebriá,SD Eibar,2018/19,GK,62,Spain
Emilio Bernad,Valencia CF,2018/19,GK,62,Spain
M. Hongla,Granada CF,2018/19,CB,62,Cameroon
Rubén Mesa,Villarreal CF,2018/19,ST,62,Spain
A. Solano,Atlético Madrid,2018/19,RB,62,Colombia
Callejón,UD Almería,2018/19,CM,62,Spain
Sillero,Athletic Club de Bilbao,2018/19,RB,62,Spain
Hugo Duro,Getafe CF,2018/19,ST,62,Spain
Abenza,UD Almería,2018/19,CM,62,Spain
Kike,Rayo Vallecano,2018/19,CB,62,Spain
Josep Martínez,UD Las Palmas,2018/19,GK,62,Spain
Luis Perea,CA Osasuna,2018/19,CM,62,Spain
Perera,Deportivo Alavés,2018/19,CDM,62,Spain
Joan Sastre,RCD Mallorca,2018/19,RB,62,Spain
F. Russo,RCD Mallorca,2018/19,CB,62,Argentina
A. Dávila,Real Sociedad,2018/19,ST,62,Uruguay
Quinti,Villarreal CF,2018/19,LB,62,Spain
L. Zidane,Real Madrid,2018/19,GK,62,France
Álex Blanco,Valencia CF,2018/19,LW,62,Spain
Fran Serrano,Granada CF,2018/19,CB,62,Spain
Kike,Real Valladolid CF,2018/19,CM,62,Spain
Aarón,Granada CF,2018/19,GK,62,Spain
Alberto Redondo,Getafe CF,2018/19,RB,62,Spain
Miguel Ángel,Getafe CF,2018/19,CB,62,Spain
Borja Domingo,CA Osasuna,2018/19,ST,62,Spain
Meseguer,Rayo Vallecano,2018/19,LB,61,Spain
A. Lupu,Deportivo Alavés,2018/19,ST,61,Romania
Eliseo Falcón,Granada CF,2018/19,CB,61,Spain
Guillamón,Valencia CF,2018/19,CB,61,Spain
Yeremi Valerón,UD Las Palmas,2018/19,LB,61,Spain
J. Victoria,Granada CF,2018/19,ST,61,Colombia
Angel Sánchez,RCD Espanyol,2018/19,LW,61,Spain
Adrià Pedrosa,RCD Espanyol,2018/19,LB,61,Spain
Álex Dos Santos,Atlético Madrid,2018/19,GK,61,Brazil
Aitor Lorea,CA Osasuna,2018/19,RW,61,Spain
Ángel López,SD Eibar,2018/19,LW,61,Spain
S. Erimuya,Cádiz CF,2018/19,CB,61,Nigeria
Iñaki Peña,FC Barcelona,2018/19,GK,61,Spain
Álex Mozo,CD Leganés,2018/19,CM,61,Spain
Robert,Real Betis,2018/19,RW,61,Spain
Iván,Real Betis,2018/19,LW,61,Spain
Darío Poveda,Atlético Madrid,2018/19,ST,61,Spain
Miquel Parera,RCD Mallorca,2018/19,GK,61,Spain
Diego Pampín,RC Celta,2018/19,LB,61,Spain
Leandro,RCD Mallorca,2018/19,GK,61,Spain
Roger Riera,Villarreal CF,2018/19,CB,61,Spain
Rubén Sánchez,Granada CF,2018/19,ST,61,Spain
Genaro,Sevilla FC,2018/19,CM,61,Spain
Manu Navarro,Rayo Vallecano,2018/19,CM,60,Spain
Javi Pérez,Real Valladolid CF,2018/19,CM,60,Spain
Rafael Zuchi,SD Huesca,2018/19,CB,60,Brazil
Sergio Tienza,Real Betis,2018/19,GK,60,Spain
Kike PIna,SD Eibar,2018/19,LB,60,Spain
Lombo,CD Leganés,2018/19,GK,60,Spain
Algobia,Rayo Vallecano,2018/19,CM,60,Spain
David Gil,Cádiz CF,2018/19,GK,60,Spain
Adrián,Elche CF,2018/19,GK,60,Spain
Lin Liangming,UD Almería,2018/19,RW,60,China PR
Leja,Granada CF,2018/19,GK,60,Spain
I. Baba,RCD Mallorca,2018/19,CM,60,Ghana
C. Sánchez,Real Sporting de Gijón,2018/19,GK,60,Cuba
Pablo Ramón,RCD Mallorca,2018/19,CB,60,Spain
Sergio Moreno,Rayo Vallecano,2018/19,ST,60,Spain
Daniel Rebollo,Real Betis,2018/19,GK,60,Spain
Cristian Rodríguez,Atlético Madrid,2018/19,CAM,60,Spain
P. Mbodji,Getafe CF,2018/19,CM,60,Senegal
Sergi Álamo,Girona FC,2018/19,LB,60,Spain
Iván Martos,UD Almería,2018/19,LB,59,Spain
Óscar Gil,Elche CF,2018/19,RB,59,Spain
Oleaga,Athletic Club de Bilbao,2018/19,GK,59,Spain
J. Peñaloza,SD Huesca,2018/19,RW,59,Colombia
Iván Jaime,Málaga CF,2018/19,CM,59,Spain
Raúl Sánchez,CD Leganés,2018/19,LW,59,Spain
Sergio Gónzalez,Cádiz CF,2018/19,CB,59,Spain
Samu Pérez,Real Valladolid CF,2018/19,GK,59,Spain
Obama,Atlético Madrid,2018/19,ST,59,Spain
Guille Lara,UD Almería,2018/19,GK,59,Spain
Mollejo,Atlético Madrid,2018/19,RW,59,Spain
E. Maceira,SD Huesca,2018/19,LW,58,Venezuela
Mario Sánchez,Cádiz CF,2018/19,RB,58,Spain
Valery,Girona FC,2018/19,LW,58,Spain
José Uche,SD Huesca,2018/19,CB,58,Spain
Martín,Rayo Vallecano,2018/19,CB,58,Spain
Javi Rubio,Rayo Vallecano,2018/19,LW,58,Spain
Javi López,Elche CF,2018/19,CM,58,Spain
Altamirano,Real Betis,2018/19,LW,57,Spain
N. Djouahra,Real Sociedad,2018/19,CAM,57,France
Y. Andzouana,Girona FC,2018/19,LW,57,Congo
Morro,Rayo Vallecano,2018/19,GK,57,Spain
Pol Lozano,RCD Espanyol,2018/19,CM,57,Spain
Javito,SD Huesca,2018/19,RB,56,Spain
Marc Vito,Girona FC,2018/19,GK,56,Spain
Pedrosa,Real Valladolid CF,2018/19,ST,56,Spain
Montes,Girona FC,2018/19,CB,55,Spain
Cristian Arco,Cádiz CF,2018/19,GK,55,Spain
Víctor Gómez,RCD Espanyol,2018/19,LB,55,Spain
F. Macias,SD Huesca,2018/19,ST,54,Venezuela
Francisco Mota Castro Trincão,FC Barcelona,2020/21,RW,78,Portugal
Anssumane Fati,FC Barcelona,2020/21,LW,76,Spain
Marc Roca Junqué,RCD Espanyol,2020/21,CDM,77,Spain
Emerson Leite De Souza,Real Betis,2020/21,RB,78,Brazil
Martin Ødegaard,Real Madrid,2020/21,RW,83,Norway
Takefusa Kubo,Villarreal CF,2020/21,RW,75,Japan
Vinícius José de Oliveira Júnior,Real Madrid,2020/21,LW,80,Brazil
Ricard Puig Martí,FC Barcelona,2020/21,CM,75,Spain
Marc Cucurella Saseta,Getafe CF,2020/21,LW,81,Spain
Federico Valverde,Real Madrid,2020/21,CM,83,Uruguay
Pedro González López,FC Barcelona,2020/21,LW,72,Spain
Rodrygo Silva de Goes,Real Madrid,2020/21,RW,79,Brazil
Lionel Messi,FC Barcelona,2020/21,RW,93,Argentina
Alexander Isak,Real Sociedad,2020/21,ST,79,Sweden
Mikel Oyarzabal Ugarte,Real Sociedad,2020/21,LW,84,Spain
Jean-Clair Todibo,FC Barcelona,2020/21,CB,75,France
Ousmane Dembélé,FC Barcelona,2020/21,LW,83,France
Philippe Coutinho Correia,FC Barcelona,2020/21,CAM,83,Brazil
Renan Augusto Lodi dos Santos,Atlético Madrid,2020/21,LB,81,Brazil
Jules Koundé,Sevilla FC,2020/21,CB,79,France
Marcos Llorente Moreno,Atlético Madrid,2020/21,CM,82,Spain
Éder Gabriel Militão,Real Madrid,2020/21,CB,80,Brazil
Thomas Partey,Atlético Madrid,2020/21,CM,84,Ghana
Ferland Mendy,Real Madrid,2020/21,LB,83,France
Andriy Lunin,Real Madrid,2020/21,GK,75,Ukraine
Luka Jović,Real Madrid,2020/21,ST,80,Serbia
Pervis Estupiñán,Villarreal CF,2020/21,LB,79,Ecuador
Antoine Griezmann,FC Barcelona,2020/21,ST,87,France
Karim Benzema,Real Madrid,2020/21,ST,89,France
Lucas Ocampos,Sevilla FC,2020/21,RW,82,Argentina
Eden Hazard,Real Madrid,2020/21,LW,88,Belgium
Kangin Lee,Valencia CF,2020/21,CAM,74,Korea Republic
Marco Asensio Willemsen,Real Madrid,2020/21,RW,82,Spain
José Luís Gayà Peña,Valencia CF,2020/21,LB,83,Spain
Konrad de la Fuente,FC Barcelona,2020/21,LW,63,United States
Héctor Junior Firpo Adamés,FC Barcelona,2020/21,LB,79,Spain
Nehuén Pérez,Atlético Madrid,2020/21,CB,75,Argentina
Carlos Henrique Venancio Casimiro,Real Madrid,2020/21,CDM,89,Brazil
Samuel Chukwueze,Villarreal CF,2020/21,RW,77,Nigeria
Saúl Ñíguez Esclápez,Atlético Madrid,2020/21,CM,84,Spain
Mathías Olivera,Getafe CF,2020/21,LB,77,Uruguay
Ronald Araujo,FC Barcelona,2020/21,CB,67,Uruguay
Rafael Alcântara,FC Barcelona,2020/21,CM,79,Brazil
Gonçalo Manuel Ganchinho Guedes,Valencia CF,2020/21,LW,81,Portugal
Adrià Giner Pedrosa,RCD Espanyol,2020/21,LB,75,Spain
Nabil Fekir,Real Betis,2020/21,CAM,83,France
Samuel Umtiti,FC Barcelona,2020/21,CB,83,France
Carles Aleñá Castillo,FC Barcelona,2020/21,CM,74,Spain
Borja Mayoral Moya,Real Madrid,2020/21,ST,76,Spain
Iñaki Williams Arthuer,Athletic Club de Bilbao,2020/21,RW,81,Spain
Óscar Rodríguez Arnaiz,Sevilla FC,2020/21,CAM,75,Spain
José María Giménez,Atlético Madrid,2020/21,CB,84,Uruguay
Ludovit Reis,FC Barcelona,2020/21,CM,70,Netherlands
Jesús Navas González,Sevilla FC,2020/21,RB,84,Spain
Thomas Lemar,Atlético Madrid,2020/21,LW,81,France
Marc-André ter Stegen,FC Barcelona,2020/21,GK,90,Germany
Álvaro Odriozola Arzalluz,Real Madrid,2020/21,RB,79,Spain
Jan Oblak,Atlético Madrid,2020/21,GK,91,Slovenia
Ángel Correa,Atlético Madrid,2020/21,RW,82,Argentina
Enis Bardhi,Levante UD,2020/21,LW,79,North Macedonia
Daniel Carvajal Ramos,Real Madrid,2020/21,RB,86,Spain
Hiroki Abe,FC Barcelona,2020/21,LW,69,Japan
Francisco Román Alarcón Suárez,Real Madrid,2020/21,CAM,84,Spain
Unai Simón Mendibil,Athletic Club de Bilbao,2020/21,GK,80,Spain
Sergio Roberto Carnicer,FC Barcelona,2020/21,RB,83,Spain
Ander Barrenetxea,Real Sociedad,2020/21,LW,73,Spain
Arvin Appiah,UD Almería,2020/21,LW,64,England
Martin Braithwaite,FC Barcelona,2020/21,LW,76,Denmark
Kieran Trippier,Atlético Madrid,2020/21,RB,83,England
Diego Lainez,Real Betis,2020/21,RW,72,Mexico
Thibaut Courtois,Real Madrid,2020/21,GK,89,Belgium
Sergio Busquets Burgos,FC Barcelona,2020/21,CDM,87,Spain
Cristian Portugues Manzanera,Real Sociedad,2020/21,RW,83,Spain
Mario Hermoso Canseco,Atlético Madrid,2020/21,CB,80,Spain
Sergio Gómez Martín,SD Huesca,2020/21,RW,68,Spain
Gerard Moreno Balagueró,Villarreal CF,2020/21,ST,83,Spain
Miralem Pjanić,FC Barcelona,2020/21,CM,85,Bosnia Herzegovina
Marcelo Vieira da Silva,Real Madrid,2020/21,LB,83,Brazil
Óscar Melendo Jiménez,RCD Espanyol,2020/21,RW,78,Spain
Lei Wu,RCD Espanyol,2020/21,LW,78,China PR
Jordi Alba Ramos,FC Barcelona,2020/21,LB,86,Spain
Yannick Carrasco,Atlético Madrid,2020/21,LW,82,Belgium
Emre Mor,RC Celta,2020/21,CAM,72,Turkey
Mariano Díaz Mejía,Real Madrid,2020/21,ST,77,Dominican Republic
Juan Miranda González,FC Barcelona,2020/21,LB,70,Spain
Matías Vargas,RCD Espanyol,2020/21,LW,75,Argentina
Alejandro Centelles Plaza,Valencia CF,2020/21,LB,74,Spain
Carlos Soler Barragán,Valencia CF,2020/21,RW,79,Spain
Youssouf Koné,Elche CF,2020/21,LWB,76,Mali
David Josué Jiménez Silva,Real Sociedad,2020/21,CAM,86,Spain
Unai Núñez Gestoso,Athletic Club de Bilbao,2020/21,CB,78,Spain
Oihan Sancet Tirapu,Athletic Club de Bilbao,2020/21,CAM,72,Spain
Enzo Loiodice,UD Las Palmas,2020/21,CM,65,France
Youssef En-Nesyri,Sevilla FC,2020/21,ST,78,Morocco
Antonio Sanabria,Real Betis,2020/21,ST,74,Paraguay
Diego da Silva Costa,Atlético Madrid,2020/21,ST,80,Spain
